ID,Name EN,Name DE,Name FR,Name IT,Description,Role List,Quote,Colour,Alternative Description,Alternative Name,Image ID,Keyword
CH_011,Red Queen,Rote Königin,Reine rouge,Regina rossa,"The Red Queen is a chess piece on the Red side, known for being strict, commanding, and highly logical.
She first meets Alice in Chapter 2 and explains the rules of the Looking-Glass world, where Alice must move like a pawn to reach the eighth square and become a queen.
She later appears at Alice’s coronation banquet, where the event descends into chaos.

It is possible that the Red Queen was modelled after the governess for the Liddell children, Miss Prickett, who was known as 'Pricks'. (source: alice-in-wonderland.net)",R_01,,,"In the digital wonderland of DaSCHland, the Red Queen is reimagined as a dynamic and strategic figure, embodying a blend of leadership and urgency. Unlike the traditional portrayal of her character as simply domineering, this Red Queen is more nuanced, using her quick-paced and decisive nature to manage and oversee complex digital operations within the realm.

The Red Queen in DaSCHland utilizes advanced data analytics and management tools that are visually represented by the constant motion of her character—mirroring her motif of ""running to stay in place."" Her realm is one where order and efficiency reign, and she is often seen orchestrating the flow of information and digital events with precision and command.

Her interactions with Alice are marked by challenges that test Alice's ability to think and react quickly, embodying the Red Queen's belief in the necessity of constant movement and adaptation in a rapidly changing digital environment. This portrayal highlights her as not just a ruler but a symbol of perpetual progress and the relentless pace of technological and data-driven environments.",The Digi-Queen,"I_053, I_055, I_068, I_085, I_086, I_090","Authority, Rules, Tyranny, Judgment, Absurdity, Imagination, Madness, Chaos"
CH_012,Humpty Dumpty,Humpty Dumpty,Humpty Dumpty,Humpty Dumpty,"Humpty Dumpty is a large, egg-shaped character sitting on a wall when Alice meets him.
He is famously known from the nursery rhyme:
He is arrogant and boastful, constantly correcting Alice and claiming he can make words mean whatever he wants.
He explains the nonsense words from “Jabberwocky” to Alice, adding to the theme of language and meaning.",R_02,"""Humpty Dumpty sat on a wall,
Humpty Dumpty had a great fall.
All the King’s horses and all the King’s men
Couldn’t put Humpty together again.""",,"
In DaSCHland, Humpty Dumpty is crafted as a figure of intellectual whimsy, combining his well-known penchant for wordplay with digital enhancements that allow him to manipulate language and meanings in novel ways. This digital Humpty Dumpty is perched on a high wall, symbolizing his lofty ideas and the precarious nature of his assertions.

This version of Humpty Dumpty is equipped with linguistic databases from the DaSCH repository, enabling him to provide Alice with elaborate explanations and definitions that twist and stretch words beyond their conventional meanings. His digital interface allows him to project visual representations of his wordplay, turning abstract concepts into tangible, manipulable objects in the virtual environment.

His interactions with Alice are cerebral and engaging, challenging her understanding of language and logic. Humpty Dumpty’s role in DaSCHland is not only to entertain but also to enlighten, serving as a quirky mentor who encourages Alice to explore the depths of linguistic creativity and the flexibility of digital communication. This character retains his iconic vulnerability, with the ever-present risk of falling off his wall, symbolizing the delicate balance between knowledge and confusion in the expansive digital world.",Fragmented Data,"I_072, I_074","Logic, Wordplay, Irony, Paradoxes, Absurdity, Surrealism, Imagination"
CH_013,White Knight,Weisser Ritter,Cavalier blanc,Cavaliere bianco,"The White Knight is a chess piece from the White side who rescues Alice from the Red Knight, following the rules of chess.
He is depicted as kind, gentle, and absent-minded, constantly falling off his horse due to his clumsiness.
He carries odd inventions, such as a beehive on a stick and anklets to keep sharks away, showcasing his quirky creativity.
Before Alice moves on to become a Queen, he escorts her to the last square, saying a poetic farewell.

The White Knight is often seen as a self-portrait of Lewis Carroll, representing the gentle, eccentric dreamer who helps Alice along her journey.",R_02,,,"
In the imaginative universe of DaSCHland, the White Knight is transformed into a quirky yet noble figure who embodies the fusion of chivalric ideals with technological innovation. He is designed as a tinkerer and inventor, with his armor and steed adorned with various whimsical gadgets and gizmos that he has crafted from the digital resources available within the DaSCH repository.

This White Knight retains his traditional clumsiness and good-hearted nature, but his inventions are digitally enhanced, offering practical (and sometimes impractical) solutions during his adventures with Alice. His armor, instead of merely serving as protection, is integrated with interactive displays and tools that assist him and Alice as they navigate through DaSCHland.

His interactions with Alice are filled with gentle guidance and eccentric inventiveness. He serves not only as a protector on her journey but also as a mentor in creativity and resilience, often providing comic relief with his inventions that sometimes work in unexpected ways. The White Knight’s character in DaSCHland symbolizes the bridge between old-world chivalry and modern digital creativity, making every encounter with him both educational and entertaining.",Encryption Key,"I_043, I_050, I_080, I_081, I_082, I_083","Adventure, Journey, Wisdom, Reflection, Absurdity, Imagination, Paradoxes, Wordplay"
CH_014,Mouse,Maus,Souris,Topo,"The Mouse is one of the creatures that fall into the pool of tears Alice creates when she grows too large.
It is easily offended, especially when Alice mentions her cat, Dinah, which frightens the Mouse.
To dry off, the Mouse tells a “dry” history lesson about William the Conqueror, but it is so boring that no one listens.
It participates in the Caucus Race, a nonsensical race where everyone wins.",R_02,"Sit down, all of you, and listen to me! I'll soon make you dry enough!",,"
In DaSCHland, the Mouse is depicted as a wise and articulate historian, carrying a vast repository of knowledge from the DaSCH archives. This digital incarnation of the Mouse combines its characteristic timidity with a profound intellectual depth, serving as a guide to the historical and literary contexts of Wonderland.

The Mouse in DaSCHland is often seen scurrying across digital landscapes, leaving trails of historical data and literary references that help Alice understand the intricate background of the characters and settings she encounters. Its small size belies the vast amount of information it holds, and it communicates with Alice through a series of sophisticated projections and interactive data streams that visually represent the stories it tells.

Interacting with the Mouse, Alice finds a valuable resource in piecing together the puzzles of DaSCHland. The Mouse's role is crucial for teaching her about the origins and transformations of Wonderland's inhabitants and their adventures. This character's timid yet profound demeanor makes it a unique and insightful guide, enriching Alice's journey through the layers of digital Wonderland.",Command-line Operator,"I_008, I_010","Animals, Anxiety, Absurdity, Logic, Paradoxes"
CH_015,Dodo,Dodo,Dodo,Dodo,"The Dodo is one of the animals that fall into the pool of tears with Alice.
He organizes the Caucus Race, a nonsensical event where everyone runs in circles with no clear rules, and everyone wins.

The dodo, a flightless bird that once inhabited the island of Mauritius, located east of Madagascar in the Indian Ocean, became extinct in the mid-17th century during the colonisation of the island by the Dutch. 

The character is believed to represent Lewis Carroll himself (Charles Dodgson), as “Dodo” is thought to be a reference to Dodgson’s own stammer, which made him pronounce his surname as “Do-do-Dodgson.”
(source: alice-in-wonderland.net)",R_02,The best way to explain it is to do it.,,"In DaSCHland, the Dodo is reimagined as a digital curator and archivist, overseeing the preservation and organization of the vast literary and historical data within the DaSCH repository. This version of the Dodo retains the peculiar and somewhat absurd characteristics from the original tales, but with a twist: he is deeply knowledgeable and somewhat pedantic about the digital artifacts and records under his care.

The Dodo in DaSCHland serves as an authoritative figure in managing the flow of information and ensuring that Alice receives the proper context and background needed for her explorations. His presence is marked by a series of elaborate digital displays and interfaces that he controls, which serve as interactive exhibits for Alice and other visitors to DaSCHland.

Interacting with the Dodo, Alice is often caught in the whirlwind of his archiving activities, witnessing how digital preservation works in a realm where literary and historical data are treated as precious commodities. The Dodo's meticulous nature and his commitment to his duties make him a fascinating character who blends the whimsical with the practical, providing a unique perspective on the importance of data stewardship in the digital age.",Old-System,I_009,"Animals, Absurdity, Irony, Paradoxes, Imagination, Surrealism"
CH_016,Alice's sister,Alices Schwester,Sœur d'Alice,Sorella di Alice,"She is an unnamed older sister of Alice, present at the beginning and end of the story.
At the start, she sits with Alice by the riverbank, reading a book with “no pictures or conversations,” which bores Alice and leads her to daydream about Wonderland.
At the end, after Alice wakes up from her dream, her sister gently sends her home and reflects on Alice’s adventures, imagining that Alice will one day grow up but still retain her childlike wonder.

Her character is likely a fictionalized counterpart to Lorina Charlotte ""Ina"" Liddell (1849-1930), the real-life elder sister of Alice Liddell. The real Alice's older sister, Lorina, was actually only three years her senior. (source: alice-in-wonderland.net)",R_02,"Wake up, Alice dear! Why, what a long sleep you've had!",,"
In DaSCHland, Alice's sister is conceptualized as a serene and scholarly figure, serving as a gateway between the real world and the digital realm of DaSCH. She embodies the role of a caretaker and guide, often seen in the background, offering gentle encouragement and insights that help Alice navigate her digital adventures.

Her character in DaSCHland is endowed with an intuitive understanding of both the physical and digital worlds, making her an ideal mentor for Alice. She is portrayed as possessing a deep knowledge of the literary foundations of DaSCHland, providing Alice with critical interpretations and historical contexts that enrich her journey.

Alice's sister interacts with the digital world through a sophisticated interface that allows her to monitor and occasionally guide Alice's progress, ensuring that her little sister's explorations are both safe and enlightening. Her calm demeanor and intellectual depth make her a grounding presence, offering a bridge back to reality and a reminder of the world beyond the digital landscape. Her role highlights the connection between storytelling, learning, and the nurturing guidance that helps Alice grow throughout her adventures in DaSCHland.",Meta-Sibling,,"Domesticity, Reflection, Wisdom"
CH_017,King of Hearts,Herzkönig,Roi de cœur,Re di cuori,"The King of Hearts is the ruler of Wonderland alongside the Queen of Hearts, though he is much less fearsome than his wife.
He serves as the judge during the trial of the Knave of Hearts, who is accused of stealing the Queen’s tarts.
He follows absurd legal procedures, often making nonsensical rulings, such as demanding a verdict before the evidence is presented.
Unlike the Queen, who frequently yells “Off with their heads!”, the King often softens her harsh orders and tries to keep things under control.",R_02,"Begin at the beginning, and go on till you come to the end: then stop.",,"In DaSCHland, the King of Hearts is portrayed as a benevolent and somewhat ceremonial ruler, often overshadowed by the more forceful Queen of Hearts but holding his own unique authority within the digital realm. His character is designed to embody wisdom and moderation, serving as a balancing force against the Queen's more impulsive decisions.

The King in DaSCHland maintains his gentle demeanor from the original stories, but he is equipped with tools and systems that help him manage the kingdom's affairs and ensure the proper execution of its laws. He often appears in scenarios where judicial or moral decisions are needed, providing a voice of reason and compassion.

His interactions with Alice are marked by kindness and encouragement, offering her advice and support as she navigates the complexities of DaSCHland. The King's role is crucial in maintaining the order and fairness of the digital kingdom, often using his authority to temper the Queen's harsher judgments.

Overall, the King of Hearts in DaSCHland represents the virtues of patience and understanding, using his position to promote peace and stability in the kingdom, and showing Alice the importance of thoughtful leadership in any world, digital or otherwise.",The Data King,"I_001, I_041","Authority, Inverted Justice, Absurdity, Rules, Judgment"
CH_018,Dormouse,Siebenschläfer,Loir,Ghiro,"The Dormouse is a sleepy, drowsy creature who sits between the Mad Hatter and the March Hare at the tea party.
He constantly falls asleep mid-conversation and has to be poked or shaken awake by the others.
He tells a bizarre story about three sisters (Elsie, Lacie, and Tillie) who live at the bottom of a treacle well and only eat treacle.
At one point, Alice picks him up and puts him into a teapot, though he escapes later.",R_02,"I heard every word you fellows were saying
",,"In the digital realm of DaSCHland, the Dormouse is reimagined as a sleepy yet insightful character, whose drowsy demeanor masks a deep repository of narrative wisdom. In this version, the Dormouse is not merely a participant in the Mad Hatter's tea party but serves as a crucial archival resource, storing and occasionally divulging snippets of folklore and historical tales embedded within DaSCH's extensive databases.

This digital Dormouse occasionally dozes off, but when awake, it projects holographic snippets of stories and historical events, illuminating the discussions at the tea party with vivid, animated tales from various epochs and cultures. Its ability to access and display these narratives at random—or seemingly so—adds a layer of enchantment and mystery to its character.

Interactions with the Dormouse provide Alice and other characters with unexpected insights, often sparking deeper discussions or leading to new adventures in DaSCHland. Despite its sleepy nature, the Dormouse is a beloved figure, enchanting visitors with its whimsical, albeit intermittent, contributions to the digital tea party. This character blends the charm of its traditional portrayal with the technological marvels of DaSCHland, making each of its rare awakenings a moment worth waiting for.",Archived Node,I_027,"Madness, Confusion, Dream-like, Imagination, Surrealism"
CH_019,Knave of Hearts,Herzbube,Valet de cœur,Fante di cuori,"The Knave is a servant of the Queen of Hearts, accused of stealing the Queen’s tarts.
He is put on trial in a ridiculous courtroom scene, presided over by the King of Hearts.
Although the evidence against him is absurd and nonsensical, the Queen still demands his execution.
Before the trial can conclude, Alice grows larger and disrupts the proceedings, leading to the scene’s chaotic ending.",R_02,I didn't write it!,,"In DaSCHland, the Knave of Hearts is recast as a mischievous yet charismatic character, well-known for his role in the infamous tart theft, but with a deeper digital twist. He serves as an intriguing figure within the virtual realm, often involved in scenarios that test the boundaries of rules and digital ethics.

The Knave in DaSCHland utilizes his cunning and charm not just to engage in his notorious antics but also to explore and sometimes exploit the digital environment's capabilities. His actions often lead to lessons about digital responsibility and the consequences of manipulating data without regard for the virtual world's laws.

His interactions with Alice are playful yet edifying, offering her—and the audience—a glimpse into the complexities of maintaining order and morality within a digitally governed realm. Despite his reputation for causing trouble, the Knave is portrayed as a fundamentally multi-dimensional character, whose adventures prompt discussions about right, wrong, and the gray areas in between in DaSCHland.

This version of the Knave of Hearts adds a layer of intrigue to the narrative, making him a pivotal character whose actions drive much of the drama and learning experiences within the digital wonderland.",The Code Thief,,"Inverted Justice, Judgment, Authority, Absurdity"
CH_020,Dinah,Dinah,Dinah,Dinah,"Dinah is a real-world kitten that Alice adores. She is described as an excellent mouser and bird-catcher.
Alice frequently brings her up in conversation, especially when speaking to Wonderland creatures, which often upsets them—especially the Mouse, who is terrified at the mention of cats.
",R_02,"And she’s such a capital one for catching mice you can’t think! And oh, I wish you could see her after the birds! Why, she’ll eat a little bird as soon as look at it!",,"
In DaSCHland, Dinah, Alice's beloved cat from the real world, is reimagined with a significant virtual presence that bridges the realms of reality and digital fantasy. This version of Dinah retains her feline traits but is enhanced with digital capabilities that allow her to interact with Alice in unique and helpful ways within the digital landscape.

Dinah in DaSCHland serves as Alice’s loyal companion and protector, equipped with sensors and communication tools that help her detect and navigate digital anomalies or threats. Her presence offers a comforting sense of home and familiarity to Alice, providing emotional support and practical assistance as they explore the various facets of the digital world together.

Her interactions with Alice and other characters are marked by a blend of affectionate behavior typical of a pet and sophisticated digital interventions that aid in Alice's adventures. Dinah's ability to appear and act within DaSCHland adds an element of whimsy and security, reinforcing the connection between Alice's real-world roots and her fantastical digital experiences.

Dinah's role as a digitally enhanced pet in DaSCHland highlights the theme of companionship transcending physical and virtual spaces, making her an integral part of the narrative that emphasizes loyalty, protection, and the comforts of home, even in the most extraordinary of settings.",Code-Cat,,"Animals, Domesticity"
